Component	kappa	rho	variance explained	normalized variance explained	countsigFT2	countsigFS0	dice_FT2	dice_FS0	countnoise	signal-noise_t	signal-noise_p	d_table_score	optimal sign	estimated normalized variance explained	classification	rationale
PCA_31	21.180901514018352	14.736590331582361	0.1342376755404482	0.33253645399259535	3920	3226	0.6380611839491458	0.47393822393822393	1165	1.1544557398734385	0.252760351599463	37.4	-1	0.3648273984074026	accepted	n/a
PCA_32	23.937028788158653	14.67808789902876	0.12671407432782364	0.3100240931451859	4369	3217	0.6735776277724205	0.5464308275426406	1201	-1.4188452742714224	0.17076572778121923	36.8	-1	0.33676062053667577	accepted	n/a
PCA_33	23.207060415362132	13.266736372763196	0.1199457480300136	0.3003567841883247	4011	2927	0.651414204902577	0.46530612244897956	1182	-0.7047371197586944	0.48465553387657845	37.2	1	0.32621459985539214	accepted	n/a
PCA_34	25.428085965433176	12.51623392717028	0.12265066714845241	0.2952251039912323	3989	2697	0.6325699745547074	0.5014880952380952	1081	12.773146608549112	9.031112239201642e-27	26.8	1	0.320654995729903	accepted	n/a
PCA_35	21.61841361739065	13.074407491320086	0.12568793664737857	0.2821884059551098	3514	2586	0.6133612315050068	0.4745497259201253	1171	8.099050359988361	3.231366949420205e-11	34.4	-1	0.3083558327287807	accepted	n/a
PCA_36	22.098395092878757	12.240178652978505	0.10828303604305468	0.27687458694259504	3915	2657	0.682359164242264	0.5017182130584192	1130	1.9803718449685257	0.05011051823225021	32.2	1	0.30164697339698987	accepted	n/a
PCA_37	22.886049106497897	12.502199708029824	0.10641108840207336	0.2730553160864952	3636	2658	0.6456715559390279	0.49830508474576274	1134	7.899014085235477	4.190057896689479e-12	31.0	-1	0.3090329133750245	accepted	n/a
PCA_38	18.499485004807873	13.132928479889847	0.1465504459255305	0.27175814011534544	2821	1928	0.5725646123260437	0.4435757101902528	1097	-1.2230834192656113	0.22276299941148656	42.4	1	0.29521854625641547	accepted	n/a
PCA_39	18.63468211419274	10.662260146131203	0.09508434396525392	0.25585796416887563	3029	1856	0.6156666666666667	0.4767665658509761	1055	3.0921693532290484	0.0022271834550471386	35.6	1	0.27783173240950915	accepted	n/a
PCA_40	17.313383168646325	13.443671974654439	0.08802154814289012	0.25425707978903495	2801	2207	0.5844250363901019	0.4537272097853681	1095	8.497445270852769	1.333346353563142e-14	35.6	-1	0.27630867385812385	accepted	n/a
PCA_41	18.07594169676656	10.616342917088447	0.1080831041750114	0.24962991405174328	2541	1860	0.6313483369846644	0.4745945945945946	1176	-0.005442686939377527	0.9956785863589024	43.2	-1	0.27109201468363947	accepted	n/a
PCA_42	19.548341158488334	11.603266061048211	0.10357674853199829	0.23523144616851532	3481	2178	0.6762043795620438	0.5138504155124654	1222	0.0	0.0	38.8	1	0.25961078938407545	accepted	n/a
PCA_43	16.988627356281285	11.799982987166205	0.08461838894226385	0.23273096184204617	3010	2385	0.6433949349760438	0.5114273393704183	1177	3.603492460575437	0.0007044422581599732	39.2	-1	0.25440299187842275	accepted	n/a
PCA_44	17.191803776250715	10.392237508304756	0.0835783412654603	0.2298474281688506	2828	1713	0.6413655347739241	0.46714031971580816	1187	4.9474043944450905	1.8210874400260463e-05	39.0	-1	0.24988814676254606	accepted	n/a
PCA_45	16.61327145108741	11.163521506863894	0.08167874276198599	0.2262238789800401	3059	1947	0.5967036663303061	0.4648620510150963	1153	3.653633645690306	0.0004808965373869049	39.9	1	0.24809765062736214	accepted	n/a
PCA_46	16.686245797711553	10.537760049405117	0.07770978979678302	0.22474188878964502	2803	1679	0.6523697963597045	0.4734961286480048	1123	4.9184782178820186	2.94275853883389e-06	36.2	-1	0.24474142380103972	accepted	n/a
PCA_47	17.294358163062547	11.149278279669332	0.07712350648878802	0.22048143996770472	2313	1545	0.5634427684117125	0.43098311817279045	1132	7.477822736032391	3.2614311515978676e-11	39.2	-1	0.2395564565459387	accepted	n/a
PCA_48	16.84625482157498	10.153126245571501	0.07895888585859703	0.21385856085342	2400	1592	0.5690537084398977	0.4020163831127914	1149	1.1497095657792435	0.25346075983467403	44.0	1	0.23285625977990093	accepted	n/a
PCA_49	15.835507834797886	9.665729171404733	0.08337718030819449	0.21245415081813018	2597	1548	0.6260194174757282	0.48057460006529545	1222	0.0	0.0	45.8	-1	0.231528218462464	accepted	n/a
PCA_50	14.910235775069337	9.943498378107048	0.07270724572822512	0.20449644319855648	2402	1495	0.6143069412014435	0.39779005524861877	1199	-1.4733280072849981	0.1540929781213591	47.8	-1	0.22448750719401322	accepted	n/a
PCA_51	14.13847150180257	9.211833935638596	0.06427827766536874	0.19751941998247788	1924	1368	0.5606340819022457	0.42050130939019825	1222	0.0	0.0	49.8	-1	0.21654859010212887	accepted	n/a
PCA_52	14.486549525607161	10.221214486255587	0.06917020395570368	0.19347518414515866	2082	1261	0.5610791906070447	0.42698412698412697	1222	0.0	0.0	49.2	-1	0.21372294591435656	accepted	n/a
