Component	kappa	rho	variance explained	normalized variance explained	countsigFT2	countsigFS0	dice_FT2	dice_FS0	signal-noise_t	signal-noise_p	optimal sign	Var Exp of rejected to accepted	classification	classification_tags
ICA_25	60.26530030019221	13.9724232502559	0.3264471565456029	0.6793869337379456	4389	3311	0.7209742255852447	0.5884704073789393	16.600413475612942	1.2272604416500813e-47	1	21.36587999555254	accepted	Likely BOLD
ICA_26	44.310965095612495	16.351074118769148	0.308283472019404	0.858597984189027	5042	3354	0.7275082195875262	0.5831273176761433	8.332985830959883	2.1739936428468931e-16	1	14.838876154219427	accepted	Likely BOLD
ICA_27	109.40127025087288	18.142229347699207	1.716875754182444	2.7941942066134886	6510	4895	0.7858611418630397	0.6993664418557123	8.932037051361673	5.509195430853024e-18	1	23.972666441948952	accepted	Likely BOLD
ICA_28	22.54824866156576	28.073131938126302	0.7208551845900133	0.6019624313396447	3524	2600	0.6126177562089637	0.48960831334932053	3.2299373358042707	0.001312083554549243	1	n/a	rejected	Unlikely BOLD
ICA_29	105.57127122117731	18.35723532949452	0.5357902848946591	1.1761288116045636	6025	4641	0.787276673902154	0.6721437178223245	13.345077925789724	1.1263027004950776e-37	1	11.567095168388153	accepted	Likely BOLD
ICA_30	68.45862154611655	17.99282829984441	0.3701572423788145	0.9096461509887804	5625	4305	0.7503720238095238	0.6407328098976921	17.807939231435416	1.2199736949967086e-62	1	10.277155355430612	accepted	Likely BOLD
ICA_31	136.48902022555643	28.57292864169494	9.083728431241909	4.925670938463406	6021	4530	0.7209626787582839	0.6275002857469425	5.962168409453974	1.9136446777291745e-08	1	16.16798473818186	accepted	Likely BOLD
ICA_32	58.872844452952094	14.275971544767064	0.30530375447273284	0.8249791101606748	5382	3651	0.7566147859922179	0.6405081157374736	14.182029809469828	3.6729511505072875e-42	1	15.140890076630098	accepted	Likely BOLD
ICA_33	18.85899690759215	21.07335615445536	0.14093100039536308	0.4931762457413453	2883	3042	0.5944902614493771	0.5232198142414861	0.4810808312059699	0.6306181735326554	1	n/a	rejected	Unlikely BOLD
ICA_34	29.63101414180223	16.38130167134507	62.55428715810516	42.57893681025416	7182	4144	0.5851116979516094	0.2534584980237154	-3.2082509354128237	0.0018817459872319604	1	n/a	rejected	Unlikely BOLD
ICA_35	33.04919800567743	19.876578333558708	5.917012074475949	6.837988838746857	5234	3955	0.5377441837636203	0.3132008154943935	-7.293448702097295	5.685540896592295e-10	1	n/a	rejected	Unlikely BOLD
ICA_36	28.049552441504183	12.917528663937354	0.28638047493742974	0.7474902651441819	3874	2564	0.6245899488256135	0.4244848969793959	7.612064847705944	1.1980399911552904e-13	1	n/a	rejected	Unlikely BOLD
ICA_37	77.83994908924583	16.061352044772576	0.4538203879113882	1.0436843214918554	5631	4251	0.7552185548617306	0.6495911495911496	14.347913713086784	4.194606284306379e-43	1	10.912866303580937	accepted	Likely BOLD
ICA_38	21.72322066995166	14.44139904254752	0.16378952812029415	0.43851963656818604	3332	1947	0.6457938013915243	0.5205905205905206	6.737615263370229	1.0129188137538935e-10	1	n/a	rejected	Unlikely BOLD
ICA_39	29.908329857616103	13.54835534409928	0.23359236769281724	0.6544637004143168	3335	2453	0.6282595512431777	0.5439639270342284	13.43963977154142	9.695629243320099e-37	1	18.927355711087166	accepted	Likely BOLD
ICA_40	101.57013214540834	18.403562825693175	0.935082924072631	1.5434260279808587	6328	5002	0.786046511627907	0.6877968201527979	10.470368190854492	1.855420022209936e-23	1	7.303946140463291	accepted	Likely BOLD
