Component	kappa	rho	variance explained	normalized variance explained	countsigFT2	countsigFS0	dice_FT2	dice_FS0	signal-noise_t	signal-noise_p	optimal sign	Fstat nuisance model	Fstat nuisance Motion partial model	Fstat nuisance CSF partial model	pval nuisance model	pval nuisance Motion partial model	pval nuisance CSF partial model	R2stat nuisance model	R2stat nuisance Motion partial model	R2stat nuisance CSF partial model	Fstat task model	pval task model	R2stat task model	Var Exp of rejected to accepted	classification	classification_tags	external regressor correlation mot_x	external regressor correlation mot_y	external regressor correlation mot_z	external regressor correlation mot_pitch	external regressor correlation mot_roll	external regressor correlation mot_yaw	external regressor correlation mot_dx	external regressor correlation mot_dy	external regressor correlation mot_dz	external regressor correlation mot_dpitch	external regressor correlation mot_droll	external regressor correlation mot_dyaw	external regressor correlation csf1	external regressor correlation csf2	external regressor correlation csf3	external regressor correlation signal_checkerboard
ICA_10	68.8865064867583	14.920832366866971	0.2203534938183913	0.6647485801657909	4035	2571	0.6670119109269809	0.578698224852071	15.9097365153097	2.604271310618833e-50	1	2.6108195231644697	2.742579782025552	2.731048160692125	0.0016872096712424	0.0022428541208593	0.0461218679598208	0.214985726383338	0.1870887287163538	0.0541899205161888	1.74365798601247	0.188597725558419	0.0109841111647188	18.691609409329267	accepted	Likely BOLD	0.15002932893033494	-0.06482485814827496	-0.16504367329522765	0.04490500701942838	-0.02910653035649071	0.06951123889408442	0.07047284831585421	0.17494741122967442	0.043317798853428825	-0.13373687262981718	0.11500592065798873	-0.12425070639766786	0.09803596316212464	-0.08934493733874745	0.11211781776296129	-0.08549552581395575
ICA_11	27.57019924002108	13.278031042139634	0.1972491684728028	0.494489030408907	3647	2836	0.6709788702026735	0.5122218168551623	8.835478741606526	4.9322111759416243e-17	1	2.0410737738062092	2.213481376233489	0.9782927949726246	0.0162236985196334	0.0139193484760664	0.4048728927094007	0.1763436999332083	0.1566495531054026	0.0201108769705953	0.2852229918106554	0.5940535300627268	0.001813412515081	n/a	rejected	Unlikely BOLD	-0.1084212037579683	-0.06586273791849967	0.04383381959018256	0.07588331136222633	-0.059854248843445056	0.044605521910656504	-0.021064846579796667	-0.015079855624852924	0.13640440286777283	0.01820944223701279	-0.0840935164709521	-0.03681112219996655	0.04841705031651721	-0.05581281462504638	-0.07485828899692053	-0.03681986199312512
ICA_12	50.703432867746905	28.08253124329712	0.9481407954567012	1.6873434415768522	6594	5797	0.6240134855566624	0.4632425189816883	7.125613695409567	8.249456601457817e-12	1	10.402074909801865	5.197097903796041	37.551265385868206	1.1102230246251563e-16	3.357032800632709e-07	1.1102230246251563e-16	0.5217889086060649	0.3036794086069121	0.4406498078681224	0.0145504547199714	0.9041420900359664	9.266946711516956e-05	n/a	rejected	Unlikely BOLD,Fits CSF external regressors,External regressors,Fits motion external regressors	-0.13608861668164376	0.08648252680568246	-0.07113731524274222	-0.08358824104515937	0.06937433822407073	-0.08898164625360734	-0.15203171905025242	-0.03286390856752662	-0.2151631425406117	-0.07007963210509892	0.0796504704474313	0.017814275615166547	0.47311254603321806	0.1087049322158373	0.1407802889936151	-0.02700079680953806
ICA_13	99.61818386504255	17.15948118188647	0.5090308856918285	1.1537053173847125	6449	4780	0.8149267982176958	0.680073921078378	7.571209470549793	9.887753782600296e-14	1	1.6624995597486487	0.9692991754520908	4.205457540233748	0.0649609717066497	0.4809596581724749	0.0069431397288527	0.148492709352238	0.0752213056691383	0.0810735554892565	0.8069018650457404	0.3704133281062562	0.0051132229041274	17.16516253363345	accepted	Likely BOLD	0.03951950887515404	-0.054584992337786784	0.10575768330438587	0.027882407619079324	-0.028854832137403936	0.04645684240156939	0.04708958075868222	-0.08158889464543889	0.010200578270628948	-0.04843341873003798	0.14943263214339036	-0.05898745424195373	-0.059751179001084384	-0.009310531242978927	-0.14477420765934373	0.08113131531903844
ICA_14	40.42629339626798	33.65931020259772	0.7390172806627419	1.3490418245477342	6980	6253	0.6748403200939725	0.5472753066844697	3.7900078897933014	0.0002882983490218	1	11.286144740474962	5.921782330950201	27.785170437584004	1.1102230246251563e-16	2.6448948364787842e-08	3.2307490016592055e-14	0.542095469466805	0.3319673325714205	0.3682504164768533	0.0836412464849853	0.7728037797447755	0.0005324631248758	n/a	rejected	Unlikely BOLD,Fits CSF external regressors,External regressors,Fits motion external regressors	-0.12563381077427013	0.16211901124798717	-0.10727841780830169	-0.1489990245196982	0.1329501238870301	-0.16776897158072251	-0.04907469861148854	-0.1564178595687895	-0.37339775338917064	0.04097427202903483	-0.1126184707612069	-0.06762833819134459	-0.39353697303534374	0.15675040210040542	-0.12399462130482618	-0.0509090584120016
ICA_15	67.9675817531843	17.284005720302105	0.4077236201649749	1.7242371626863866	5917	4022	0.7335992531613341	0.5767107459237386	6.06110457692221	5.305808336400032e-09	1	1.8668055573741744	1.207838941519234	5.3186074564600645	0.0312170498687245	0.2831437724275993	0.0016698564376096	0.1637528783878103	0.0920292906702627	0.1003789740542009	2.489199095054034	0.1166428116401073	0.0156073208040281	18.55239038838159	accepted	Likely BOLD	-0.039757129476801184	0.009962490211003278	0.06559291511007016	-0.03070211708759586	0.023839251514870305	-0.0013342514837310063	-0.0006781080306206944	-0.08064596692584156	0.13056929231249734	0.08346897851221118	-0.05445019527523279	0.07932061528520452	0.18398275093738548	-0.019217091699593188	0.25332019265305145	-0.12332944267826819
ICA_16	24.59513702708452	28.48610426541056	0.7780967246979702	1.660663673684275	3921	3817	0.5049384386415912	0.4978292329956584	-1.431761294604621	0.1524903957575169	1	13.940320746135864	3.636021177573436	38.00599992315552	1.1102230246251563e-16	9.137496556199665e-05	1.1102230246251563e-16	0.5938709286139012	0.2337873179213859	0.4436187343755515	12.512078149025704	0.0005318707497156	0.0738123105188161	n/a	rejected	Unlikely BOLD,Fits CSF external regressors,External regressors,Fits motion external regressors	0.0025393773454407296	-0.09843480068938477	-0.09061246111423768	0.12263585412336395	-0.1347901330171065	0.07346165288217976	0.12422875182519401	-0.016181843242635892	-0.04880879944997523	0.040715612879859066	-0.03448222365854536	-0.1377552726884605	-0.32286442372281876	0.03723756220455316	-0.6510628594395294	0.27112915179982966
ICA_17	126.83835875937106	19.700889124606057	2.1777096965688183	3.290688574256088	7647	5922	0.8077606230359339	0.70082001859836	5.281919994404763	1.6703292884519286e-07	1	14.443060845563268	14.764828550805904	13.349287450356687	1.1102230246251563e-16	1.1102230246251563e-16	9.893820174244895e-08	0.6023866949216106	0.5533733559705848	0.2187835565883948	2.760439119384999	0.0986172634188213	0.0172786149975601	n/a	rejected	Unlikely BOLD,Likely BOLD,Fits CSF external regressors,External regressors,Fits motion external regressors	-0.24156861239526467	-0.0895822472052963	0.5359450690447802	0.08204637246188613	-0.20628571409003965	0.10868162772768454	0.17102465226541402	0.22380725836870696	0.07392004208760908	-0.14480434229272815	0.1971442579146871	-0.22504205960084664	-0.31336431115322744	-0.0775290264361107	0.03723614247578066	0.1509206212250958
ICA_18	20.133624035926644	15.149976572189276	0.6883086316097098	1.0022438275925325	2695	2197	0.5626512753677155	0.4058434147454919	-6.578293333942383	9.147348914247191e-10	1	24.29829915253296	29.70486852319506	3.567899971598913	1.1102230246251563e-16	1.1102230246251563e-16	0.0157571480195395	0.7182124351428789	0.7136898816368178	0.0696385312827874	3.546195447567586	0.061531743764865	0.0220883181795842	n/a	rejected	Unlikely BOLD,Fits CSF external regressors,External regressors,Fits motion external regressors	0.0908673171562947	-0.12073602773962448	0.2647207522167009	-0.020016953766389057	-0.17699248922927627	0.22692442462951487	0.022857775412919938	-0.1558883181565103	-0.06914312852257573	0.051739135924413725	-0.048368743126836956	0.1419439457636655	-0.0024854545380886355	-0.048829595448945565	-0.06648196584595692	-0.13429440994819075
ICA_19	82.84044943580842	18.73152286953409	1.3444884514418811	2.228745400385995	5427	4121	0.7631797617948481	0.6623650576994664	11.926364659771636	1.5731438446261836e-29	1	3.9544911043205473	4.028770787428779	2.9080935505366505	6.12080861817077e-06	2.2092466996914695e-05	0.0367682869902763	0.2931896928670585	0.2526597842816802	0.0575008865696499	3.962467396621149	0.048261035974733	0.0246173375738418	24.159548460577007	accepted	Likely BOLD	-0.046041527236731127	-0.02196973396850842	0.387700663116579	0.006133838900846516	-0.08733287783240154	0.021257970259717016	-0.0038757058898742287	-0.006711188025307249	0.16462663932994195	-0.13782787033327618	0.0448929424799254	-0.011777230636611527	-0.13778361395325595	-0.07149491969327805	0.15183291094593362	-0.13738604451382969
