mot_x	mot_y	mot_z	mot_pitch	mot_roll	mot_yaw	mot_dx	mot_dy	mot_dz	mot_dpitch	mot_droll	mot_dyaw	csf1	csf2	csf3	signal_checkerboard
0.00938	-0.123629	0.00945812	0.0793513	-0.0216806	0.0401544	-0.00231563	-0.00258813	0.00229562	0.00470438	-0.00381875	-0.000366875	0.0789262	-0.0504334	-0.039564	0.947358
0.01558	-0.134229	0.000958125	0.104651	-0.0256806	0.0334544	0.00638438	-0.0142881	-0.00860438	0.0282044	-0.00451875	-0.00536687	0.0790343	-0.0428587	-0.0366559	0.628846
0.00798	-0.125029	0.00485812	0.0793513	-0.0194806	0.0380544	-0.00741563	0.00551187	0.00379563	-0.0223956	0.00568125	0.00593313	0.0790281	-0.0384684	-0.0594961	0.285061
0.00318	-0.120429	0.00705812	0.0729513	-0.0176806	0.0369544	-0.00461562	0.000911875	0.00209563	-0.00349563	0.00128125	0.000233125	0.0789604	-0.051798	0.00931175	0.0996339
-0.00052	-0.122729	0.00395812	0.0759513	-0.0156806	0.0398544	-0.00351563	-0.00598813	-0.00320438	0.00590438	0.00148125	0.00423312	0.0792159	-0.0649969	0.0587333	0.0292531
0.00158	-0.125529	0.00555812	0.0756513	-0.0143806	0.0401544	0.00228437	-0.00648813	0.00149563	0.00260437	0.00078125	0.00163312	0.0792206	-0.0687334	0.0368722	0.00760051
0.00208	-0.130429	0.00805812	0.0672513	-0.0160806	0.0451544	0.000684375	-0.00858813	0.00239562	-0.00549562	-0.00221875	0.00633313	0.0789772	-0.0563125	-0.038092	0.00180528
0.00268	-0.133129	0.00735812	0.0637513	-0.0195806	0.0554544	0.000784375	-0.00638813	-0.000804375	-0.000595625	-0.00401875	0.0116331	0.0790568	-0.0368809	-0.0208066	0
-0.00372	-0.128929	0.0124581	0.0404513	-0.0189806	0.0573544	-0.00621562	0.000511875	0.00499563	-0.0203956	8.125e-05	0.00323312	0.0790853	-0.0211477	-0.0562902	0
-0.00342	-0.125529	0.0122581	0.0362513	-0.0153806	0.0552544	0.000484375	-0.000288125	-0.000304375	-0.00129563	0.00308125	-0.000766875	0.0789559	-0.0204733	-0.102359	0
-0.00742	-0.126529	0.0160581	0.0269513	-0.0121806	0.0536544	-0.00381563	-0.00468813	0.00369563	-0.00639562	0.00268125	-0.000266875	0.0789448	-0.0154919	-0.0677861	0
-0.00742	-0.123729	0.0161581	0.0285513	-0.0104806	0.0559544	0.000184375	-0.000888125	-4.375e-06	0.00450437	0.00118125	0.00363313	0.0790836	-0.00956807	-0.00138285	0
-0.00502	-0.120429	0.00955812	0.0424513	-0.0127806	0.0583544	0.00258437	-0.000388125	-0.00670438	0.0168044	-0.00281875	0.00373312	0.0790449	-0.0382667	0.0638959	0
-0.00182	-0.118829	0.00455812	0.0406513	-0.00838063	0.0535544	0.00338437	-0.00208813	-0.00510438	0.00110438	0.00388125	-0.00346687	0.0789909	-0.0403628	-0.0383358	0
-0.00272	-0.113829	0.00655812	0.0310513	-0.00378063	0.0512544	-0.000715625	0.00131187	0.00189562	-0.00669562	0.00408125	-0.000966875	0.079131	-0.0154195	-0.0514026	0
-0.00032	-0.109629	0.00755812	0.0300513	-0.00918063	0.0564544	0.00258437	0.000511875	0.000895625	0.00190437	-0.00591875	0.00653313	0.0789699	-0.0156616	-0.0720368	0
-0.00362	-0.112529	0.00505812	0.0352513	-0.0157806	0.0551544	-0.00311562	-0.00658813	-0.00260438	0.00810438	-0.00711875	3.3125e-05	0.078861	-0.0108828	-0.140867	0
-0.00142	-0.113929	0.00425812	0.0427513	-0.0205806	0.0517544	0.00238438	-0.00508813	-0.000904375	0.0104044	-0.00531875	-0.00206688	0.078985	0.00149881	-0.106058	0
